               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097419,             0.11275,            0.084292,           0.0062536,             0.14416,           0.0063738,           0.0015559,            0.083826,            0.074348,            0.083891,            0.070166,           0.0033149,           0.0033149
                   1,            0.076555,            0.096436,            0.081864,            0.021949,             0.49239,            0.044486,            0.014388,            0.060916,            0.060486,            0.080045,              0.0401,           0.0065824,           0.0065824
                   2,            0.067064,            0.086918,            0.078195,             0.36869,              0.2099,            0.091967,            0.039346,            0.054619,            0.054914,            0.073714,           0.0099681,           0.0097839,           0.0097839
                   3,            0.056461,            0.078305,            0.073661,             0.72847,             0.19947,              0.1861,            0.070289,            0.048845,            0.049997,            0.068277,            0.009703,            0.009703,            0.009703
                   4,            0.050553,            0.074377,             0.06824,              0.4855,               0.347,             0.30067,             0.14724,             0.04207,             0.04434,            0.061673,            0.009703,            0.009703,            0.009703
                   5,            0.047782,            0.070064,            0.063225,             0.75593,             0.34452,             0.40255,             0.19416,             0.04151,            0.042777,            0.056094,            0.009604,            0.009604,            0.009604
                   6,            0.045698,            0.067369,            0.058066,             0.70649,             0.41757,             0.51896,             0.26966,            0.036445,            0.040536,            0.049708,            0.009505,            0.009505,            0.009505
                   7,            0.045356,             0.06774,            0.052686,             0.63072,             0.52298,             0.61053,             0.31111,            0.039676,            0.041417,            0.043737,            0.009406,            0.009406,            0.009406
                   8,            0.045154,            0.066096,            0.047562,             0.58707,             0.62834,             0.68024,             0.37698,            0.035806,            0.040796,            0.038843,            0.009307,            0.009307,            0.009307
                   9,            0.044049,            0.065979,             0.04307,             0.66821,             0.65824,             0.70753,             0.37919,            0.035204,            0.039084,            0.034782,            0.009208,            0.009208,            0.009208
                  10,            0.043451,            0.063457,            0.039117,             0.70236,             0.68391,             0.75429,             0.37697,            0.038414,            0.039821,            0.030871,            0.009109,            0.009109,            0.009109
                  11,            0.042673,            0.063945,            0.035621,             0.70917,             0.75119,             0.80634,             0.45399,            0.035406,             0.04024,            0.027995,             0.00901,             0.00901,             0.00901
                  12,            0.042022,            0.061938,            0.032553,             0.75381,             0.78919,             0.83014,             0.44787,            0.036181,            0.040347,            0.024279,            0.008911,            0.008911,            0.008911
                  13,            0.041175,            0.062017,            0.029647,             0.75921,             0.79451,             0.84538,             0.49722,             0.03454,            0.038334,            0.022356,            0.008812,            0.008812,            0.008812
                  14,             0.04106,            0.061417,            0.027668,             0.81759,             0.81775,             0.88062,             0.51173,            0.032918,             0.03887,            0.020494,            0.008713,            0.008713,            0.008713
                  15,            0.040281,            0.059676,            0.025768,             0.82842,             0.82551,             0.87584,             0.44605,            0.037113,             0.03896,            0.019111,            0.008614,            0.008614,            0.008614
                  16,            0.039329,            0.059876,            0.023948,             0.88776,             0.83105,             0.91328,              0.5177,            0.034301,             0.03872,            0.018564,            0.008515,            0.008515,            0.008515
                  17,            0.039358,            0.059406,            0.022455,             0.87651,             0.82768,                 0.9,             0.45428,            0.037646,            0.039152,            0.016302,            0.008416,            0.008416,            0.008416
                  18,            0.038547,            0.059057,            0.021351,             0.85102,             0.89079,             0.92741,             0.55861,            0.031346,            0.038337,            0.015572,            0.008317,            0.008317,            0.008317
                  19,            0.038355,            0.058477,             0.02007,             0.90126,             0.88196,             0.93593,             0.54915,              0.0321,            0.038301,            0.014805,            0.008218,            0.008218,            0.008218
                  20,            0.036921,             0.05782,            0.019041,             0.90269,             0.89204,             0.93789,             0.54865,            0.032756,            0.039066,            0.014029,            0.008119,            0.008119,            0.008119
                  21,            0.036951,            0.057042,            0.018037,             0.90097,             0.90469,             0.93202,             0.52857,            0.032915,            0.037953,            0.013085,             0.00802,             0.00802,             0.00802
                  22,            0.036824,            0.057213,            0.017516,              0.8974,             0.89834,             0.92969,             0.50638,            0.035281,            0.038515,            0.012612,            0.007921,            0.007921,            0.007921
                  23,            0.036337,            0.056147,            0.016723,             0.91407,             0.89349,             0.93645,             0.54136,             0.03249,            0.038864,            0.011636,            0.007822,            0.007822,            0.007822
